time elapsed (wall):   133.2956
time running program:  133.1488  (99.89%)
time profiling (est.): 0.1468  (0.11%)
number of calls:       11215


%Time    Sec.     #calls   sec/call  F  name

 0.00    0.0001        1   0.000076     <anon>:...erl5/lib/perl5/Fatal.pm:1678
 0.00    0.0001        1   0.000075     <anon>:.../local/share/perl5/Carp.pm:4
 0.00    0.0001        1   0.000075     <anon>:/usr/share/perl5/vars.pm:3
 0.00    0.0001        1   0.000075     <anon>:...l/share/perl5/Data/Lock.pm:2
 0.00    0.0001        1   0.000073     <anon>:...read-multi/Data/Dumper.pm:39
 0.00    0.0001        1   0.000072     <anon>:...read-multi/Data/Dumper.pm:18
 0.00    0.0001        1   0.000071     <anon>:...ib64/perl5/Config_heavy.pl:6
 0.00    0.0001        1   0.000071     <anon>:...ocal/share/perl5/Carp.pm:188
 0.00    0.0001        1   0.000071     <anon>:...usr/lib64/perl5/POSIX.pm:204
 0.00    0.0001        1   0.000070     warnings::__chk
 0.00    0.0001        1   0.000070     autodie::Util::on_end_of_compile_scope
 0.00    0.0001        1   0.000070     <anon>:...ocal/share/perl5/Carp.pm:730
 0.00    0.0001        2   0.000035     Encode::define_alias
 0.00    0.0001        1   0.000067     <anon>:...d-multi/Encode/JP/JIS7.pm:74
 0.00    0.0001        1   0.000066     <anon>:...hread-multi/Scalar/Util.pm:9
 0.00    0.0001        1   0.000066     <anon>:.../local/share/perl5/Carp.pm:3
 0.00    0.0001        1   0.000066     <anon>:...x-thread-multi/Encode.pm:207
 0.00    0.0001        1   0.000065     <anon>:...erl5/Attribute/Handlers.pm:2
 0.00    0.0001        1   0.000064     <anon>:...-multi/Encode/JP/JIS7.pm:135
 0.00    0.0001        1   0.000064     <anon>:...l/share/perl5/Data/Lock.pm:4
 0.00    0.0001        1   0.000064     <anon>:...-thread-multi/Storable.pm:40
 0.00    0.0001        1   0.000063     <anon>:...ux-thread-multi/Encode.pm:13
 0.00    0.0001        1   0.000063     <anon>:...l/share/perl5/constant.pm:45
 0.00    0.0001        1   0.000062     <anon>:...share/perl5/overloading.pm:2
 0.00    0.0001        1   0.000062     autodie::Scope::GuardStack::push_hook
 0.00    0.0001        1   0.000062     <anon>:...ocal/share/perl5/Carp.pm:256
 0.00    0.0001        1   0.000060     <anon>:/usr/lib64/perl5/Errno.pm:8
 0.00    0.0001        1   0.000059     Tie::StdHash::TIEHASH
 0.00    0.0001        1   0.000059     <anon>:.../perl5/lib/perl5/Fatal.pm:10
 0.00    0.0001        1   0.000058     <anon>:...ead-multi/Encode/Config.pm:7
 0.00    0.0001        2   0.000029     Carp::get_status
 0.00    0.0001        1   0.000057     <anon>:...-thread-multi/List/Util.pm:9
 0.00    0.0001        1   0.000057     <anon>:...l5/Attribute/Handlers.pm:114
 0.00    0.0001        1   0.000056     <anon>:.../lib/perl5/autodie/Util.pm:6
 0.00    0.0001        1   0.000056     Scalar::Util::weaken
